Product_Type,Keywords,Store_ID,Product_ID_Type,Product_ID,Title,Description,Image_URL,Original_Price,Sale_Price,Currency,Full_URL
retail_product,"Digital Marketing,Strategy",amazon,ISBN,978-0749484224,Digital Marketing Strategy: An Integrated Approach to Online Marketing 2nd Edition,,"https://images-na.ssl-images-amazon.com/images/I/51V31OVffoL._SX331_BO1,204,203,200_.jpg",39.95,31.23,USD,https://www.amazon.com/gp/product/0749484225/
retail_product,"Marketing,AI",amazon,ISBN,978-1704534541,The Truth About Predictive Marketing Automation: A Complete Guide to Strategy & Execution,,https://m.media-amazon.com/images/I/41LX1H47d+L.jpg,19.95,19.95,USD,https://www.amazon.com/Truth-About-Predictive-Marketing-Automation-ebook/dp/B07Z466G47/
retail_product,"Artificial Intelligence,AI",amazon,ISBN,978-1484250273,Artificial Intelligence Basics: A Non-Technical Introduction,,"https://images-na.ssl-images-amazon.com/images/I/41HoaybH+tL._SX327_BO1,204,203,200_.jpg",34.99,22.99,USD,https://www.amazon.com/Artificial-Intelligence-Basics-Non-Technical-Introduction/dp/1484250273
retail_product,"Storytelling,Data",amazon,ISBN,978-1119002253,Storytelling with Data,,"https://images-na.ssl-images-amazon.com/images/I/41WsfBz6wRL._SX399_BO1,204,203,200_.jpg",27.00,27.00,USD,https://www.amazon.com/Storytelling-Data-Visualization-Business-Professionals/dp/1119002257/
retail_product,"Innovation,Smart City",amazon,ISBN,978-1787696143,Smart Cities: Introducing Digital Innovation to Cities,,"https://images-na.ssl-images-amazon.com/images/I/51HZjX59F2L._SX330_BO1,204,203,200_.jpg",26.00,26.00,USD,https://www.amazon.com/Smart-Cities-Introducing-Digital-Innovation/dp/1787696146/
retail_product,"Data Science,Big Data,Machine Learning",amazon,ISBN,978-1633430037,"Introducing Data Science: Big Data, Machine Learning, and more, using Python tools",,"https://images-na.ssl-images-amazon.com/images/I/41-WsK0YMpL._SX397_BO1,204,203,200_.jpg",28.24,28.24,USD,https://www.amazon.com/Introducing-Data-Science-Machine-Learning/dp/1633430030/
retail_product,"MBA,Leadership",amazon,ISBN,978-0241386682,The Visual MBA: A Quick Guide to Everything You’ll Learn in Two Years of Business School,,"https://images-na.ssl-images-amazon.com/images/I/41bllP6Mr+L._SY344_BO1,204,203,200_.jpg",20.79,20.79,USD,https://www.amazon.com/Visual-MBA-Shortcut-World-Class-Education/dp/0241386683/
retail_product,"MarTech, Marketing, Philip Kotler",amazon,ISBN,978-1119668510,Marketing 5.0: Technology for Humanity,,"https://images-na.ssl-images-amazon.com/images/I/515LVK-wccL._SX334_BO1,204,203,200_.jpg",15.99,15.99,USD,https://www.amazon.com/Marketing-5-0-Philip-Kotler/dp/1119668514/
retail_product,Leadership,amazon,ISBN,978-1472967244,The Social CEO: How Social Media Can Make You A Stronger Leader,,"https://images-na.ssl-images-amazon.com/images/I/41md9DSghbL._SX317_BO1,204,203,200_.jpg",28.00,19.69,USD,https://www.amazon.com/Social-CEO-Media-Stronger-Leader/dp/1472967240/
retail_product,"Network Economy,Strategy",amazon,ISBN,978-0875848631,Information Rules: A Strategic Guide to the Network Economy,,"https://images-na.ssl-images-amazon.com/images/I/41184IZMFqL._SX327_BO1,204,203,200_.jpg",40.00,25.11,USD,https://www.amazon.com/Information-Rules-Strategic-Network-Economy/dp/087584863X/
retail_product,Smart City,amazon,ISBN,978-0262038959,Inventing Future Cities (The MIT Press),,"https://images-na.ssl-images-amazon.com/images/I/51wbau9XnhL._SX336_BO1,204,203,200_.jpg",12.36,12.36,USD,https://www.amazon.com/Inventing-Future-Cities-MIT-Press/dp/0262038951/
retail_product,Digital Marketing,amazon,ISBN,978-1119265702,"The Art of Digital Marketing: The Definitive Guide to Creating Strategic, Targeted, and Measurable Online Campaigns",,"https://images-na.ssl-images-amazon.com/images/I/511S8yc14kL._SX346_BO1,204,203,200_.jpg",50.00,27.50,USD,https://www.amazon.com/Art-Digital-Marketing-Definitive-Measurable/dp/1119265703/
retail_product,"Content Marketing, Digital Marketing, Marketing Strategy",amazon,ISBN,978-9354069925,"The One-Page Content Marketing Blueprint: Step by Step Guide to Launch a Winning Content Marketing Strategy in 90 Days",,"https://images-na.ssl-images-amazon.com/images/I/41Gkpqad53L._SX312_BO1,204,203,200_.jpg",23.99,5.53,USD,https://www.amazon.com/One-Page-Content-Marketing-Blueprint-Strategy/dp/9354069924
retail_product,"Digital Marketing,Big Data, CDP, Customer Data Platform",amazon,ISBN,978-1119790112,Customer Data Platforms: Use People Data to Transform the Future of Marketing Engagement,,"https://images-na.ssl-images-amazon.com/images/I/41gUgegbS3L._SX336_BO1,204,203,200_.jpg",25.00,25.00,USD,https://www.amazon.com/Customer-Data-Platforms-Transform-Engagement/dp/1119790115/
retail_product,Machine Learning,amazon,ISBN,978-1492045113,Building Machine Learning Powered Applications: Going from Idea to Product,,"https://images-na.ssl-images-amazon.com/images/I/51F5NarlBxL._SX379_BO1,204,203,200_.jpg",59.99,43.70,USD,https://www.amazon.com/Building-Machine-Learning-Powered-Applications/dp/149204511X
retail_product,"Behavioral Data Analysis, Python, Customer-Driven Data, Customer Analytics",amazon,ISBN,978-1492061373,Behavioral Data Analysis with R and Python: Customer-Driven Data for Real Business Results,,"https://images-na.ssl-images-amazon.com/images/I/41I64I5MOqS._SX379_BO1,204,203,200_.jpg",69.99,69.99,USD,https://www.amazon.com/Behavioral-Data-Analysis-Python-Customer-Driven/dp/1492061379
retail_product,Customer Analytics,amazon,ISBN,978-1118937594,Customer Analytics For Dummies,,"https://images-na.ssl-images-amazon.com/images/I/51lqtrcOVfL._SX397_BO1,204,203,200_.jpg",2.93,2.93,USD,https://www.amazon.com/Customer-Analytics-Dummies-Jeff-Sauro/dp/1118937597/
retail_product,Digital transformation,amazon,ISBN,978-1119433743,Digital @ Scale: The Playbook You Need to Transform Your Company,,"https://images-na.ssl-images-amazon.com/images/I/51ITOtPpQ7L._SX329_BO1,204,203,200_.jpg",29.95,29.95,USD,https://www.amazon.com/Digital-Scale-Playbook-Transform-Company/dp/1119433746/
retail_product,Android Programming,amazon,ISBN,978-1800563438,"Android Programming for Beginners: Build in-depth, full-featured Android apps starting from zero programming experience, 3rd Edition",,"https://images-na.ssl-images-amazon.com/images/I/410-wHKoleL._SX404_BO1,204,203,200_.jpg",44.99,44.99,USD,https://www.amazon.com/Android-Programming-Beginners-depth-full-featured-dp-1800563434/dp/1800563434/
retail_product,Khoa Học Cơ Bản,netabooks,external_ID,42153,Thực Tại Không Như Ta Tưởng: Hành Trình Đến Hấp Dẫn Lượng Tử,,https://www.netabooks.vn/Data/Sites/1/Product/42153/thuc-tai-khong-nhu-ta-tuong-hanh-trinh-den-hap-dan-luong-tu.jpg,6.53,5.23,USD,https://www.netabooks.vn/thuc-tai-khong-nhu-ta-tuong-hanh-trinh-den-hap-dan-luong-tu
retail_product,"Vật lý lượng tử,tư tưởng Phật giáo,Nguyễn Tường Bách",netabooks,external_ID,42770,Lưới Trời Ai Dệt - Tiểu Luận Về Khoa Học Và Triết Học,,https://www.netabooks.vn/Data/Sites/1/Product/42770/luoi-troi-ai-det-tieu-luan-ve-khoa-hoc-va-triet-hoc.jpg,12.12,10.30,USD,https://www.netabooks.vn/luoi-troi-ai-det-tieu-luan-ve-khoa-hoc-va-triet-hoc
retail_product,"vật lý, triết học, đạo học,Fritjof Capra",netabooks,external_ID,25168,Đạo Của Vật Lý - Fritjof Capra,,https://www.netabooks.vn/Data/Sites/1/Product/25168/dao-cua-vat-ly-tai-ban-01.jpg,8.67,7.37,USD,https://www.netabooks.vn/dao-cua-vat-ly
retail_product,"triết học, sách phổ thông",netabooks,external_ID,42964,Triết Học - Tất Cả Những Điều Cần Biết Để Thông Thạo Bộ Môn Này,,https://www.netabooks.vn/Data/Sites/1/Product/42964/triet-hoc-tat-ca-nhung-dieu-can-biet-de-thong-thao-bo-mon-nay.jpg,13.55,10.84,USD,https://www.netabooks.vn/triet-hoc-tat-ca-nhung-dieu-can-biet-de-thong-thao-bo-mon-nay
